Frame_ID,Pothole_ID,Area_cm2,Center_Coordinate
1172,3,408.0,"(529, 357)"
1172,4,19964.6,"(187, 463)"
1173,1,420.8,"(537, 833)"
1173,2,413.2,"(847, 770)"
1173,3,842.0,"(523, 680)"
1173,4,18980.9,"(192, 511)"
1173,5,1531.6,"(52, 75)"
1174,1,522.8,"(819, 779)"
1174,2,1191.0,"(523, 806)"
1174,3,783.5,"(521, 586)"
1174,4,18684.9,"(184, 462)"
1174,5,907.0,"(61, 42)"
1175,1,2006.5,"(534, 766)"
1175,2,671.6,"(525, 497)"
1175,3,16687.5,"(185, 391)"
1176,1,525.4,"(290, 845)"
1176,2,1855.0,"(537, 675)"
1176,3,574.3,"(524, 408)"
1176,4,12869.0,"(201, 322)"
1177,1,905.8,"(176, 880)"
1177,2,1125.3,"(539, 598)"
1177,3,710.7,"(758, 487)"
1177,4,562.0,"(525, 330)"
1177,5,11224.0,"(209, 277)"
1178,1,833.9,"(48, 886)"
1178,2,1281.3,"(176, 784)"
1178,3,1073.3,"(541, 508)"
1178,4,489.6,"(523, 251)"
1178,5,9278.1,"(212, 225)"
1179,1,781.9,"(71, 853)"
1179,2,1265.5,"(189, 697)"
1179,3,941.6,"(541, 422)"
1179,4,696.0,"(794, 366)"
1179,5,436.8,"(524, 180)"
1179,6,7346.5,"(215, 179)"
1180,1,762.1,"(92, 760)"
1180,2,1074.8,"(199, 579)"
1180,3,834.0,"(541, 340)"
1180,4,4948.1,"(235, 157)"
1181,1,481.1,"(154, 837)"
1181,2,640.0,"(106, 651)"
1181,3,985.6,"(214, 490)"
1181,4,718.3,"(542, 261)"
1181,5,3301.6,"(247, 124)"
1182,1,409.2,"(168, 722)"
1182,2,825.5,"(226, 410)"
1182,3,677.1,"(543, 187)"
1182,4,2094.8,"(262, 88)"
1183,1,693.1,"(233, 327)"
1183,2,634.3,"(546, 120)"
1183,3,1160.6,"(278, 60)"
1184,1,604.6,"(210, 818)"
1184,2,577.8,"(233, 247)"
1184,3,643.9,"(25, 144)"
1184,4,622.4,"(548, 58)"
1184,5,518.3,"(288, 33)"
1185,1,847.9,"(530, 803)"
1185,2,563.0,"(223, 712)"
1185,3,630.0,"(196, 494)"
1185,4,567.9,"(249, 174)"
1185,5,939.9,"(27, 84)"
1186,1,1335.2,"(549, 762)"
1186,2,476.7,"(235, 611)"
1186,3,873.4,"(31, 79)"
1187,1,1713.0,"(560, 742)"
1187,2,418.9,"(276, 45)"
1187,3,520.6,"(33, 51)"
1188,1,3019.7,"(560, 703)"
1189,1,3010.9,"(558, 631)"
1190,1,474.2,"(38, 790)"
1190,2,560.4,"(1113, 696)"
1190,3,2291.7,"(553, 544)"
1191,1,441.8,"(51, 683)"
1191,2,774.5,"(1355, 667)"
1191,3,2037.3,"(551, 431)"
1192,1,1369.6,"(1330, 624)"
1192,2,1922.5,"(547, 319)"
1193,1,2622.8,"(1303, 612)"
1193,2,1790.1,"(551, 275)"
1194,1,2996.1,"(1292, 558)"
1194,2,1816.2,"(550, 206)"
1195,1,3207.4,"(1268, 459)"
1195,2,1113.0,"(547, 127)"
1196,1,426.9,"(547, 709)"
1196,2,3081.8,"(1251, 388)"
1196,3,760.3,"(549, 90)"
1197,1,402.5,"(547, 613)"
1197,2,2548.9,"(1233, 320)"
1198,1,2489.7,"(1215, 252)"
1199,1,2344.3,"(1199, 183)"
1200,1,1955.8,"(1185, 130)"
1201,1,416.0,"(1466, 620)"
1201,2,1576.3,"(1171, 93)"
1202,1,441.5,"(1441, 547)"
1202,2,989.4,"(1161, 58)"
1203,1,437.8,"(1417, 471)"
1203,2,443.7,"(1161, 35)"
1204,1,408.9,"(1395, 397)"
1645,1,478.9,"(153, 477)"
